,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,EUR,1.1440000000000001,40

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,51416,,UNIFLEX TUBES 0665.060.175.300,SET,49.016,49.016,1,,1,49.016,EUR(€) ,,2242.9721600000003,0.22627403894154405,KABELSCHLEPP ,1.4285131385669985,70.02,70.02,70.02,,1.144,36.19,2898.9232271999995,2898.923227199999,,,TKG,,,weight 3.99 kgs
,51415,,UNIFLEX TUBES 0665.060.175.250,SET,49.01600000000001,49.01600000000001,1,"{""sharedFormula"":""I5""}",1,49.01600000000001,EUR(€) ,,2242.9721600000007,0.22627403894154388,KABELSCHLEPP ,1.428513138566998,70.02,70.02,70.02,"{""sharedFormula"":""U5""}",1.144,36.19,2898.9232271999995,2898.923227199999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.99 kgs
,51414,,UNIFLEX TUBES 0665.060.175.200,SET,49.01600000000001,49.01600000000001,1,"{""sharedFormula"":""I5""}",1,49.01600000000001,EUR(€) ,,2242.9721600000007,0.22627403894154388,KABELSCHLEPP ,1.428513138566998,70.02,70.02,70.02,"{""sharedFormula"":""U5""}",1.144,36.19,2898.9232271999995,2898.923227199999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.99 kgs
,51413,,UNIFLEX TUBES 0665.060.175.140,SET,49.01600000000001,49.01600000000001,1,"{""sharedFormula"":""I5""}",1,49.01600000000001,EUR(€) ,,2242.9721600000007,0.22627403894154388,KABELSCHLEPP ,1.428513138566998,70.02,70.02,70.02,"{""sharedFormula"":""U5""}",1.144,36.19,2898.9232271999995,2898.923227199999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.99 kgs
,51412,,UNIFLEX TUBES 0665.060.175.120,SET,49.01600000000001,49.01600000000001,1,"{""sharedFormula"":""I5""}",1,49.01600000000001,EUR(€) ,,2242.9721600000007,0.22627403894154388,KABELSCHLEPP ,1.428513138566998,70.02,70.02,70.02,"{""sharedFormula"":""U5""}",1.144,36.19,2898.9232271999995,2898.923227199999,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.99 kgs
,51406,,UNIFLEX TUBES 0665.060.150.300,SET,47.19,47.19,1,"{""sharedFormula"":""I5""}",1,47.19,EUR(€) ,,2159.4144,0.22625642024556866,KABELSCHLEPP ,1.4284806102987921,67.41,67.41,67.41,"{""sharedFormula"":""U5""}",1.144,36.19,2790.8656775999993,2790.8656775999993,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.66 kgs
,51405,,UNIFLEX TUBES 0665.060.150.250,SET,47.19,47.19,1,"{""sharedFormula"":""I5""}",1,47.19,EUR(€) ,,2159.4144,0.22625642024556866,KABELSCHLEPP ,1.4284806102987921,67.41,67.41,67.41,"{""sharedFormula"":""U5""}",1.144,36.19,2790.8656775999993,2790.8656775999993,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.66 kgs
,51404,,UNIFLEX TUBES 0665.060.150.200,SET,47.19,47.19,1,"{""sharedFormula"":""I5""}",1,47.19,EUR(€) ,,2159.4144,0.22625642024556866,KABELSCHLEPP ,1.4284806102987921,67.41,67.41,67.41,"{""sharedFormula"":""U5""}",1.144,36.19,2790.8656775999993,2790.8656775999993,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.66 kgs
,51403,,UNIFLEX TUBES 0665.060.150.140,SET,47.19,47.19,1,"{""sharedFormula"":""I5""}",1,47.19,EUR(€) ,,2159.4144,0.22625642024556866,KABELSCHLEPP ,1.4284806102987921,67.41,67.41,67.41,"{""sharedFormula"":""U5""}",1.144,36.19,2790.8656775999993,2790.8656775999993,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.66 kgs
,51402,,UNIFLEX TUBES 0665.060.150.120,SET,47.19,47.19,1,"{""sharedFormula"":""I5""}",1,47.19,EUR(€) ,,2159.4144,0.22625642024556866,KABELSCHLEPP ,1.4284806102987921,67.41,67.41,67.41,"{""sharedFormula"":""U5""}",1.144,36.19,2790.8656775999993,2790.8656775999993,"{""sharedFormula"":""Z5""}",,TKG,,,weight 3.66 kgs
