,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
R11,0201,,MG300,PC,40920,40920,1,,1,40920,JPY(¥),,12171.2448,0.010202346971138771, SCG GROUP (CAM CLUTCH),1.335581622678397,54652.00000000001,54652.00000000001,54652,-1.3313250410201685e-16,1,0.225,12296.700000000003,12296.700000000003,,,MC,,,Price valid until March 2025
R11,0202,,MG400,PC,47190,47190,1,"{""sharedFormula"":""I5""}",1,47190,JPY(¥),,14036.193600000002,0.010420642978003092, SCG GROUP (CAM CLUTCH),1.335876244967154,63039.99999999999,63039.99999999999,63040,1.1541810936204674e-16,1,0.225,14183.999999999998,14183.999999999998,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R11,0203,,MG500,PC,62390,62390,1,"{""sharedFormula"":""I5""}",1,62390,JPY(¥),,18557.281600000002,0.010298108704492466, SCG GROUP (CAM CLUTCH),1.3357108510979323,83335,83335,83335,"{""sharedFormula"":""U5""}",1,0.225,18750.375,18750.375,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R11,0204,,MG600,PC,77730,77730,1,"{""sharedFormula"":""I5""}",1,77730,JPY(¥),,23120.011200000004,0.010338100787512673, SCG GROUP (CAM CLUTCH),1.3357648269651357,103829,103829,103829,"{""sharedFormula"":""U5""}",1,0.225,23361.525,23361.525,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R11,0205,,MG700,PC,147800,147800,1,"{""sharedFormula"":""I5""}",1,147800,JPY(¥),,43961.632000000005,0.010393031138484101, SCG GROUP (CAM CLUTCH),1.3358389715832206,197437,197437,197437,"{""sharedFormula"":""U5""}",1,0.225,44423.325000000004,44423.325000000004,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R15,0211,,MI300,PC,40920,40920,1,"{""sharedFormula"":""I5""}",1,40920,JPY(¥),,12171.2448,0.010202346971138771, SCG GROUP (CAM CLUTCH),1.335581622678397,54652.00000000001,54652.00000000001,54652,-1.3313250410201685e-16,1,0.225,12296.700000000003,12296.700000000003,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R15,0212,,MI400,PC,47190,47190,1,"{""sharedFormula"":""I5""}",1,47190,JPY(¥),,14036.193600000002,0.010420642978003092, SCG GROUP (CAM CLUTCH),1.335876244967154,63039.99999999999,63039.99999999999,63040,1.1541810936204674e-16,1,0.225,14183.999999999998,14183.999999999998,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R15,0213,,MI500,PC,62390,62390,1,"{""sharedFormula"":""I5""}",1,62390,JPY(¥),,18557.281600000002,0.010298108704492466, SCG GROUP (CAM CLUTCH),1.3357108510979323,83335,83335,83335,"{""sharedFormula"":""U5""}",1,0.225,18750.375,18750.375,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R15,0214,,MI600,PC,77730,77730,1,"{""sharedFormula"":""I5""}",1,77730,JPY(¥),,23120.011200000004,0.010338100787512673, SCG GROUP (CAM CLUTCH),1.3357648269651357,103829,103829,103829,"{""sharedFormula"":""U5""}",1,0.225,23361.525,23361.525,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
R15,0215,,MI700,PC,147800,147800,1,"{""sharedFormula"":""I5""}",1,147800,JPY(¥),,43961.632000000005,0.010393031138484101, SCG GROUP (CAM CLUTCH),1.3358389715832206,197437,197437,197437,"{""sharedFormula"":""U5""}",1,0.225,44423.325000000004,44423.325000000004,"{""sharedFormula"":""Z5""}",,MC,,,Price valid until March 2025
