,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
,,,RS25-1-RP,FT,214.7,214.7,1,,1,214.7,JPY,,63.86036800000001,-0.09163022222222236,SCG GROUP (CHAIN) ,1.2109920819748488,260,260,260,,1,0.225,58.5,58.5,,,TC
A11,5003,RS25-1-JL,RS25-1-MCJL,PC,38,38,1,"{""sharedFormula"":""I5""}",1,38,JPY,,11.302720000000003,-0.11631802469135828,SCG GROUP (CHAIN) ,1.1842105263157894,45,45,45,"{""sharedFormula"":""U5""}",1,0.225,10.125,10.125,"{""sharedFormula"":""Z5""}",,TC
A11,5006,RS35-1-JL,RS35-1-MCJL,PC,0.28,0.28,1,"{""sharedFormula"":""I5""}",1,0.28,USD,,12.415603200000001,0.18705617977528097,SCG GROUP (CHAIN) ,1.5714285714285714,0.44000000000000006,0.44000000000000006,0.44,-1.2616170734376778e-16,1,34.71,15.272400000000003,15.272400000000003,"{""sharedFormula"":""Z5""}",,TTC
A11,5012,RS40-1-JL,RS40-1-MCJL,PC,0.34,0.34,1,"{""sharedFormula"":""I5""}",1,0.34,USD,,15.076089600000001,0.09511610486891368,SCG GROUP (CHAIN) ,1.4117647058823528,0.48,0.48,0.48,"{""sharedFormula"":""U5""}",1,34.71,16.6608,16.6608,"{""sharedFormula"":""Z5""}",,TTC
A11,5018,RS50-1-JL,RS50-1-MCJL,PC,0.41,0.41,1,"{""sharedFormula"":""I5""}",1,0.41,USD,,18.179990399999998,0.08110861423220973,SCG GROUP (CHAIN) ,1.3902439024390243,0.57,0.57,0.57,"{""sharedFormula"":""U5""}",1,34.71,19.784699999999997,19.784699999999997,"{""sharedFormula"":""Z5""}",,TTC
A11,6055,,RS180-1-OL,PC,3114.72,3114.72,1,,1,3114.72,JPY,,926.4423168000001,0.02659068368794319,SCG GROUP (CHAIN) ,1.3580674988441979,4230,4230,4230,,1,0.225,951.75,951.75,,,TC
A11,6061,,RS200-1-OL,PC,3991.68,3991.68,1,"{""sharedFormula"":""I10""}",1,3991.68,JPY,,1187.2852992,-0.26058852173913044,SCG GROUP (CHAIN) ,1.0486812570145905,4186,4186,4186,"{""sharedFormula"":""U10""}",1,0.225,941.85,941.85,"{""sharedFormula"":""Z10""}",,TC
A11,6067,,RS240-1-OL,PC,7166.88,7166.88,1,"{""sharedFormula"":""I10""}",1,7166.88,JPY,,2131.7167872000005,-0.17663895081967235,SCG GROUP (CHAIN) ,1.1235014399571361,8052,8052,8052,"{""sharedFormula"":""U10""}",1,0.225,1811.7,1811.7,"{""sharedFormula"":""Z10""}",,TC
A11,5007,RS35-2-JL,RS35-2-MCJL,PC,0.57,0.57,1,"{""sharedFormula"":""I10""}",1,0.57,USD,,25.274620799999994,0.1818366367882845,SCG GROUP (CHAIN) ,1.56140350877193,0.89,0.89,0.89,"{""sharedFormula"":""U10""}",1,34.71,30.8919,30.8919,"{""sharedFormula"":""Z10""}",,TTC
A11,5013,RS40-2-JL,RS40-2-MCJL,PC,0.66,0.66,1,"{""sharedFormula"":""I10""}",1,0.66,USD,,29.2653504,0.16520903326287684,SCG GROUP (CHAIN) ,1.5303030303030303,1.01,1.01,1.01,"{""sharedFormula"":""U10""}",1,34.71,35.0571,35.0571,"{""sharedFormula"":""Z10""}",,TTC
A11,5019,RS50-2-JL,RS50-2-MCJL,PC,0.86,0.86,1,"{""sharedFormula"":""I10""}",1,0.86,USD,,38.133638399999995,0.09947909375575631,SCG GROUP (CHAIN) ,1.4186046511627908,1.22,1.22,1.22,"{""sharedFormula"":""U10""}",1,34.71,42.3462,42.3462,"{""sharedFormula"":""Z10""}",,TTC
A11,5026,RS60-2-JL,RS60-2-MCJL,PC,1,1,1,"{""sharedFormula"":""I10""}",1,1,USD,,44.34144,0.2485393258426966,SCG GROUP (CHAIN) ,1.7,1.7,1.7,1.7,"{""sharedFormula"":""U10""}",1,34.71,59.007,59.007,"{""sharedFormula"":""Z10""}",,TTC
A11,5032,RS80-2-JL,RS80-2-MWJL,PC,1.47,1.47,1,"{""sharedFormula"":""I10""}",1,1.47,USD,,65.1819168,0.2749419981779533,SCG GROUP (CHAIN) ,1.7619047619047619,2.59,2.59,2.59,"{""sharedFormula"":""U10""}",1,34.71,89.8989,89.8989,"{""sharedFormula"":""Z10""}",,TTC
A11,5038,RS100-2-JL,RS100-2-MWJL,PC,472,472,1,"{""sharedFormula"":""I10""}",1,472,JPY,,140.39168000000004,0.03411296869625014,SCG GROUP (CHAIN) ,1.36864406779661,646,646,646,"{""sharedFormula"":""U10""}",1,0.225,145.35,145.35,"{""sharedFormula"":""Z10""}",,TC
