,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,[object Object],[object Object],"Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
P71,0001,,CR3812H,PC,1190,1190,1,,1,1416100,JPY(¥),,353.95360000000005,0.467738947368421,WAREHOUSE PRICELIST,0.5588235294117647,665,665,665,,1,1,665,665,,,MC,YES
P71,0030,,CR3812K,PC,1540,1540,1,"{""sharedFormula"":""I5""}",1,2371600,JPY(¥),,458.0576000000001,0.41648713375796165,WAREHOUSE PRICELIST,0.5097402597402597,785,785,785,"{""sharedFormula"":""U5""}",1,1,785,785,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0002,,CR4012H,PC,1430,1430,1,"{""sharedFormula"":""I5""}",1,2044900,JPY(¥),,425.3392,0.45816662420382165,WAREHOUSE PRICELIST,0.548951048951049,785,785,785,"{""sharedFormula"":""U5""}",1,1,785,785,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0031,,CR4012K,PC,1810,1810,1,"{""sharedFormula"":""I5""}",1,3276100,JPY(¥),,538.3664000000001,0.401815111111111,WAREHOUSE PRICELIST,0.4972375690607735,900,900,900,"{""sharedFormula"":""U5""}",1,1,900,900,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0003,,CR4014H,PC,1910,1910,1,"{""sharedFormula"":""I5""}",1,3648100,JPY(¥),,568.1104000000001,0.443029019607843,WAREHOUSE PRICELIST,0.5340314136125655,1020,1020,1020,"{""sharedFormula"":""U5""}",1,1,1020,1020,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0032,,CR4014K,PC,1970,1970,1,"{""sharedFormula"":""I5""}",1,3880900,JPY(¥),,585.9568,0.395920824742268,WAREHOUSE PRICELIST,0.49238578680203043,970,970,970,"{""sharedFormula"":""U5""}",1,1,970,970,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0004,,CR4016H,PC,2680,2680,1,"{""sharedFormula"":""I5""}",1,7182400,JPY(¥),,797.1392000000002,0.42857405017921135,WAREHOUSE PRICELIST,0.5205223880597015,1395,1395,1395,"{""sharedFormula"":""U5""}",1,1,1395,1395,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0033,,CR4016K,PC,1980,1980,1,"{""sharedFormula"":""I5""}",1,3920400,JPY(¥),,588.9312000000001,0.40810934673366817,WAREHOUSE PRICELIST,0.5025252525252525,994.9999999999999,994.9999999999999,995,1.142581283634332e-16,1,1,994.9999999999999,994.9999999999999,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0005,,CR5014H,PC,3180,3180,1,"{""sharedFormula"":""I5""}",1,10112400,JPY(¥),,945.8592000000002,0.41793279999999994,WAREHOUSE PRICELIST,0.5110062893081762,1625.0000000000002,1625.0000000000002,1625,-1.399222618112197e-16,1,1,1625.0000000000002,1625.0000000000002,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0034,,CR5014K,PC,2300,2300,1,"{""sharedFormula"":""I5""}",1,5290000,JPY(¥),,684.1120000000001,0.39990175438596487,WAREHOUSE PRICELIST,0.4956521739130435,1140,1140,1140,"{""sharedFormula"":""U5""}",1,1,1140,1140,"{""sharedFormula"":""Z5""}",,MC,YES
P71,0006,,CR5016H,PC,3520,3520,1,"{""sharedFormula"":""I5""}",1,12390400,JPY(¥),,1046.9888,0.4371027956989247,WAREHOUSE PRICELIST,0.5284090909090909,1860,1860,1860,"{""sharedFormula"":""U5""}",1,1,1860,1860,"{""sharedFormula"":""Z5""}",,MC,YES
