,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26

Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
B23,0022,,RF03075F-AT,LINK,1590,1590,1,,0.315,500.85,JPY(¥),,148.97282400000003,0.31552600204298126,,0.6083737311320755,967.3142325,967.3142325,967.3142325000001,1.1752834177555226e-16,1,0.225,217.6457023125,217.6457023125,,,TC
B23,0035,,RF03075F-AT-1LK1,LINK,2490,2490,1,"{""sharedFormula"":""I5""}",0.315,784.35,JPY(¥),,233.29706400000006,-0.15366811839861422,,0.3609495602409639,898.7644050000001,898.7644050000001,898.7644050000001,"{""sharedFormula"":""U5""}",1,0.225,202.22199112500005,202.22199112500005,"{""sharedFormula"":""Z5""}",,TC
B23,0027,,RF03075F-AT-1LK2,LINK,2490,2490,1,"{""sharedFormula"":""I5""}",0.315,784.35,JPY(¥),,233.29706400000006,-0.15366811839861422,,0.3609495602409639,898.7644050000001,898.7644050000001,898.7644050000001,"{""sharedFormula"":""U5""}",1,0.225,202.22199112500005,202.22199112500005,"{""sharedFormula"":""Z5""}",,TC
B23,0032,,RF03075F-AT-2LA1,LINK,1820,1820,1,"{""sharedFormula"":""I5""}",0.315,573.3,JPY(¥),,170.52235199999998,0.11944498309241819,,0.47290174038461547,860.6811675000001,860.6811675000001,860.6811675000001,"{""sharedFormula"":""U5""}",1,0.225,193.65326268750005,193.65326268750005,"{""sharedFormula"":""Z5""}",,TC
B23,0024,,RF03075F-AT-2LA2,LINK,1820,1820,1,"{""sharedFormula"":""I5""}",0.315,573.3,JPY(¥),,170.52235199999998,0.11944498309241819,,0.47290174038461547,860.6811675000001,860.6811675000001,860.6811675000001,"{""sharedFormula"":""U5""}",1,0.225,193.65326268750005,193.65326268750005,"{""sharedFormula"":""Z5""}",,TC
B23,0033,,RF03075F-AT-3LA1,LINK,1760,1760,1,"{""sharedFormula"":""I5""}",0.315,554.4,JPY(¥),,164.90073600000002,0.09224143809568773,,0.4587299062500001,807.3646350000001,807.3646350000001,807.3646350000001,"{""sharedFormula"":""U5""}",1,0.225,181.65704287500003,181.65704287500003,"{""sharedFormula"":""Z5""}",,TC
B23,0025,,RF03075F-AT-3LA2,LINK,1760,1760,1,"{""sharedFormula"":""I5""}",0.315,554.4,JPY(¥),,164.90073600000002,0.09224143809568773,,0.4587299062500001,807.3646350000001,807.3646350000001,807.3646350000001,"{""sharedFormula"":""U5""}",1,0.225,181.65704287500003,181.65704287500003,"{""sharedFormula"":""Z5""}",,TC
B23,0037,,RF03075F-AT-3LK1,LINK,1890,1890,1,"{""sharedFormula"":""I5""}",0.315,595.35,JPY(¥),,177.08090400000003,0.18637996469260049,,0.5118064722222223,967.3142325000001,967.3142325000001,967.3142325000001,"{""sharedFormula"":""U5""}",1,0.225,217.64570231250002,217.64570231250002,"{""sharedFormula"":""Z5""}",,TC
B23,0034,,RF03075F-AT-4LA1,LINK,1700,1700,1,"{""sharedFormula"":""I5""}",0.315,535.5,JPY(¥),,159.27912000000003,0.4003735599151133,,0.6944590367647059,1180.5803625,1180.5803625,1180.5803625,"{""sharedFormula"":""U5""}",1,0.225,265.6305815625,265.6305815625,"{""sharedFormula"":""Z5""}",,TC
B23,0026,,RF03075F-AT-4LA2,LINK,1700,1700,1,"{""sharedFormula"":""I5""}",0.315,535.5,JPY(¥),,159.27912000000003,0.4003735599151133,,0.6944590367647059,1180.5803625,1180.5803625,1180.5803625,"{""sharedFormula"":""U5""}",1,0.225,265.6305815625,265.6305815625,"{""sharedFormula"":""Z5""}",,TC
