,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A11,0092,,RS15-1-RP-U,BOX,2620,2620,1,,1,2620,JPY(¥),*Cost from TTCL_202411 (R2) ,779.2928,-0.023137054104795864,KTE STOCK,2.484732824427481,6510.000000000001,6510.000000000001,6510,-1.3970732746127927e-16,0.52,0.225,761.6700000000002,761.6700000000002,,,TC
A11,0093,,BF25-H-1-RP-U,BOX,6833,6833,1,"{""sharedFormula"":""I5""}",0.355,2425.7149999999997,JPY(¥),"480 LKS/U, CHANGED TO PTNET PRICE BF25-H-1-RP+480L-MCJR-T",721.5046696,-0.020471053744460982,KTE STOCK,0.8843846041270306,6043,6043,6043,"{""sharedFormula"":""U5""}",0.52,0.225,707.0310000000001,707.031,-1.6079470026295314e-16,,TC
A11,0094,,RS25-1-RP-U,BOX,2150,2150,1,"{""sharedFormula"":""I5""}",1,2150,JPY(¥),*Cost from TTCL_202411 (R2) ,639.4960000000001,-0.04618198445358944,KTE STOCK,3.24,6966.000000000001,6966.000000000001,6966,-1.3056197269206548e-16,0.39,0.225,611.2665000000001,611.2665000000001,"{""sharedFormula"":""Z5""}",,TC
A11,0095,,RS25-2-RP-U,BOX,12520,12520,1,"{""sharedFormula"":""I5""}",1,12520,JPY(¥),*Cost from TTCL_202411 (R2) ,3723.9488000000006,0.06625755949367584,KTE STOCK,3.3390575079872202,41805,41805,41805,"{""sharedFormula"":""U5""}",0.424,0.225,3988.197,3988.1969999999997,-1.1402329195033849e-16,,TC
A11,0099,,RS35-3-RP-U,BOX,18100,18100,1,"{""sharedFormula"":""I5""}",0.355,6425.5,JPY(¥),,1911.2007200000003,-0.05885679188895639,KTE STOCK,0.9409944751381215,17032,17032,17032,"{""sharedFormula"":""U5""}",0.471,0.225,1804.9661999999998,1804.9662,1.259711541652315e-16,,TC
A11,0100,,RS37-1-RP-U,BOX,2900,2900,1,"{""sharedFormula"":""I5""}",0.355,1029.5,JPY(¥),,306.21448000000004,0.05956960913482655,KTE STOCK,0.9596551724137931,2783,2783,2783,"{""sharedFormula"":""U5""}",0.52,0.225,325.61100000000005,325.61100000000005,"{""sharedFormula"":""Z5""}",,TC
A11,0101,,RS38-1-RP-U,BOX,3210,3210,1,"{""sharedFormula"":""I5""}",0.355,1139.55,JPY(¥),,338.94775200000004,0.04892011381046172,KTE STOCK,0.9489096573208723,3046,3046,3046,"{""sharedFormula"":""U5""}",0.52,0.225,356.382,356.382,"{""sharedFormula"":""Z5""}",,TC
A11,0102,,RS41-1-RP-U,BOX,4070,4070,1,"{""sharedFormula"":""I5""}",0.355,1444.85,JPY(¥),,429.756184,0.0021380663467053082,KTE STOCK,0.9044226044226045,3681,3681,3681,"{""sharedFormula"":""U5""}",0.52,0.225,430.677,430.677,"{""sharedFormula"":""Z5""}",,TC
A11,0105,,RS40-3-RP-U,BOX,21900,21900,1,"{""sharedFormula"":""I5""}",0.355,7774.5,JPY(¥),,2312.4472800000003,-0.029379737271819143,KTE STOCK,0.94,20586,20586,20586,"{""sharedFormula"":""U5""}",0.485,0.225,2246.4472499999997,2246.44725,2.0242957001837644e-16,,TC
A11,0108,,RS50-3-RP-U,BOX,28800,28800,1,"{""sharedFormula"":""I5""}",0.355,10224,JPY(¥),,3041.0265600000002,-0.026086705661332636,KTE STOCK,0.9410763888888889,27103,27103,27103,"{""sharedFormula"":""U5""}",0.486,0.225,2963.71305,2963.71305,"{""sharedFormula"":""Z5""}",,TC
