,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
S41,0008,,TSB151-COM,SET,157000,157000,1,,0.42,65940,JPY(¥),,19613.193600000006,0.1405073029645695,PTUC PRODUCT,0.6459872611464968,101420,101420,101420,,1,0.225,22819.5,22819.5,,,MC
S45,1421,,TSB020ED,SET,36300,36300,1,"{""sharedFormula"":""I5""}",0.42,15246,JPY(¥),,4534.770240000001,0.14308952380952367,PTUC PRODUCT,0.6479338842975206,23520,23520,23520,"{""sharedFormula"":""U5""}",1,0.225,5292,5292,"{""sharedFormula"":""Z5""}",,MC
S45,1422,,TSB075ED,SET,36300,36300,1,"{""sharedFormula"":""I5""}",0.42,15246,JPY(¥),,4534.770240000001,0.14308952380952367,PTUC PRODUCT,0.6479338842975206,23520,23520,23520,"{""sharedFormula"":""U5""}",1,0.225,5292,5292,"{""sharedFormula"":""Z5""}",,MC
S45,1423,,TSB220ED,SET,36300,36300,1,"{""sharedFormula"":""I5""}",0.42,15246,JPY(¥),,4534.770240000001,0.14308952380952367,PTUC PRODUCT,0.6479338842975206,23520,23520,23520,"{""sharedFormula"":""U5""}",1,0.225,5292,5292,"{""sharedFormula"":""Z5""}",,MC
S45,1424,,TSB550ED,SET,36300,36300,1,"{""sharedFormula"":""I5""}",0.42,15246,JPY(¥),,4534.770240000001,0.14308952380952367,PTUC PRODUCT,0.6479338842975206,23520,23520,23520,"{""sharedFormula"":""U5""}",1,0.225,5292,5292,"{""sharedFormula"":""Z5""}",,MC
S47,1121,,TSBSB05,SET,16900,16900,1,"{""sharedFormula"":""I5""}",0.42,7098,JPY(¥),,2111.2291200000004,0.14775290342113212,PTUC PRODUCT,0.6514792899408284,11010,11010,11010,"{""sharedFormula"":""U5""}",1,0.225,2477.25,2477.25,"{""sharedFormula"":""Z5""}",,MC
S47,1122,,TSBSB10,SET,16900,16900,1,"{""sharedFormula"":""I5""}",0.42,7098,JPY(¥),,2111.2291200000004,0.14775290342113212,PTUC PRODUCT,0.6514792899408284,11010,11010,11010,"{""sharedFormula"":""U5""}",1,0.225,2477.25,2477.25,"{""sharedFormula"":""Z5""}",,MC
S47,1123,,TSBSB30,SET,16900,16900,1,"{""sharedFormula"":""I5""}",0.42,7098,JPY(¥),,2111.2291200000004,0.14775290342113212,PTUC PRODUCT,0.6514792899408284,11010,11010,11010,"{""sharedFormula"":""U5""}",1,0.225,2477.25,2477.25,"{""sharedFormula"":""Z5""}",,MC
S47,1124,,TSBSB60,SET,16900,16900,1,"{""sharedFormula"":""I5""}",0.42,7098,JPY(¥),,2111.2291200000004,0.14775290342113212,PTUC PRODUCT,0.6514792899408284,11010,11010,11010,"{""sharedFormula"":""U5""}",1,0.225,2477.25,2477.25,"{""sharedFormula"":""Z5""}",,MC
R21,0501,,MZ20,PC,63238,63238,1,,0.48,30354.239999999998,JPY(¥),,9028.5651456,0.04009386401294978,PTUC PRODUCT,0.6610424112084506,41803,41803,41803,,1,0.225,9405.675000000001,9405.675000000001,,,MC
