,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
B11,0557,,RF100,LINK,556,556,1,,0.328,182.368,JPY(¥),,54.24353792,0.4960652367149758,THB SMALL SIZE,0.3723021582733813,207,207,207,,0.52,1,107.64,107.64,,Added!,TC
B11,5101,,RF100-JL,PC,833,833,1,"{""sharedFormula"":""I5""}",0.328,273.224,JPY(¥),,81.26774656,0.49422612297734625,THB SMALL SIZE,0.3709483793517407,309,309,309,"{""sharedFormula"":""U5""}",0.52,1,160.68,160.68,"{""sharedFormula"":""Z5""}",Added!,TC
B12,0523,,RF100-LMC,LINK,951,951,1,"{""sharedFormula"":""I5""}",0.344,327.14399999999995,JPY(¥),,97.30571135999999,0.4928824715447155,THB SMALL SIZE,0.38801261829652994,369,369,369,"{""sharedFormula"":""U5""}",0.52,1,191.88,191.88,"{""sharedFormula"":""Z5""}",Added!,TC
B12,5081,,RF100-LMC-JL,PC,2000,2000,1,"{""sharedFormula"":""I5""}",0.344,688,JPY(¥),,204.63872000000003,0.4902383419689118,THB SMALL SIZE,0.386,772,772,772,"{""sharedFormula"":""U5""}",0.52,1,401.44,401.44,"{""sharedFormula"":""Z5""}",Added!,TC
B11,0558,,RF120,LINK,904,904,1,"{""sharedFormula"":""I5""}",0.328,296.512,JPY(¥),,88.19452928000001,0.493716823880597,THB SMALL SIZE,0.37057522123893805,335,335,335,"{""sharedFormula"":""U5""}",0.52,1,174.20000000000002,174.20000000000002,"{""sharedFormula"":""Z5""}",Added!,TC
B11,5102,,RF120-JL,PC,1280,1280,1,"{""sharedFormula"":""I5""}",0.328,419.84000000000003,JPY(¥),,124.87720960000003,0.4922865116279069,THB SMALL SIZE,0.36953125,473,473,473,"{""sharedFormula"":""U5""}",0.52,1,245.96,245.96,"{""sharedFormula"":""Z5""}",Added!,TC
B15,0427,,RF2030VR,LINK,480,480,1,"{""sharedFormula"":""I5""}",0.334,160.32000000000002,JPY(¥),,47.68558080000001,0.49335337016574576,THB SMALL SIZE,0.3770833333333333,181,181,181,"{""sharedFormula"":""U5""}",0.52,1,94.12,94.12,"{""sharedFormula"":""Z5""}",Added!,TC,YES
B15,5181,,RF2030VR-JL,PC,433,433,1,"{""sharedFormula"":""I5""}",0.334,144.622,JPY(¥),,43.016367680000016,0.49558668292682906,THB SMALL SIZE,0.3787528868360277,164,164,164,"{""sharedFormula"":""U5""}",0.52,1,85.28,85.28,"{""sharedFormula"":""Z5""}",Added!,TC,YES
B15,0433,,RF2030VRPA,LINK,418,418,1,"{""sharedFormula"":""I5""}",0.334,139.612,JPY(¥),,41.52619328000001,0.49134991082802537,THB SMALL SIZE,0.37559808612440193,157,157,157,"{""sharedFormula"":""U5""}",0.52,1,81.64,81.64,"{""sharedFormula"":""Z5""}",Added!,TC,YES,YES
B15,0473,,RF2030VRPA-HCP,LINK,671,671,1,"{""sharedFormula"":""I5""}",0.334,224.114,JPY(¥),,66.66046816000002,0.4953023307086613,THB SMALL SIZE,0.37853949329359166,254,254,254,"{""sharedFormula"":""U5""}",0.52,1,132.08,132.08,"{""sharedFormula"":""Z5""}",Added!,TC
