,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD
Category,Part No.,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New)
Make same Price as Standard Price","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
G31,0243,,RF03075F10T-BWN,PC,18900,18900,1,,0.489,9242.1,JPY(¥),,2748.9702240000006,0.38357262126865665,THB SPROCKET,0.45375661375661375,8576,8576,8576,,0.52,1,4459.52,4459.52,,Added!,TC
G31,0299,,RF03075F10T-BWQ,PC,23600,23600,1,"{""sharedFormula"":""I5""}",0.489,11540.4,JPY(¥),,3432.5765760000004,0.3842249253731343,THB SPROCKET,0.4542372881355932,10720,10720,10720,"{""sharedFormula"":""U5""}",0.52,1,5574.400000000001,5574.400000000001,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0355,,RF03075F10T-CWN,PC,22400,22400,1,"{""sharedFormula"":""I5""}",0.489,10953.6,JPY(¥),,3258.0387840000008,0.3883179537244947,THB SPROCKET,0.4572767857142857,10243,10243,10243,"{""sharedFormula"":""U5""}",0.52,1,5326.360000000001,5326.360000000001,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0411,,RF03075F10T-CWQ,PC,29400,29400,1,"{""sharedFormula"":""I5""}",0.489,14376.6,JPY(¥),,4276.175904000001,0.38355208395802093,THB SPROCKET,0.45374149659863944,13340,13340,13340,"{""sharedFormula"":""U5""}",0.52,1,6936.8,6936.8,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0244,,RF03075F12T-BWN,PC,23800,23800,1,"{""sharedFormula"":""I5""}",0.489,11638.199999999999,JPY(¥),,3461.666208,0.38354936568200765,THB SPROCKET,0.45373949579831935,10799,10799,10799,"{""sharedFormula"":""U5""}",0.52,1,5615.4800000000005,5615.4800000000005,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0300,,RF03075F12T-BWQ,PC,28600,28600,1,"{""sharedFormula"":""I5""}",0.489,13985.4,JPY(¥),,4159.817376000001,0.3819324113420381,THB SPROCKET,0.45255244755244756,12943,12943,12943,"{""sharedFormula"":""U5""}",0.52,1,6730.360000000001,6730.360000000001,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0356,,RF03075F12T-CWN,PC,26200,26200,1,"{""sharedFormula"":""I5""}",0.489,12811.8,JPY(¥),,3810.7417920000003,0.38474102930064646,THB SPROCKET,0.454618320610687,11911,11911,11911,"{""sharedFormula"":""U5""}",0.52,1,6193.72,6193.72,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0412,,RF03075F12T-CWQ,PC,32800,32800,1,"{""sharedFormula"":""I5""}",0.489,16039.199999999999,JPY(¥),,4770.699648000001,0.3821521718634251,THB SPROCKET,0.4527134146341463,14849,14849,14849,"{""sharedFormula"":""U5""}",0.52,1,7721.4800000000005,7721.4800000000005,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0241,,RF03075F6T-BWN,PC,10400,10400,1,"{""sharedFormula"":""I5""}",0.489,5085.599999999999,JPY(¥),,1512.6608640000002,0.37909003201707575,THB SPROCKET,0.45048076923076924,4685,4685,4685,"{""sharedFormula"":""U5""}",0.52,1,2436.2000000000003,2436.2000000000003,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0297,,RF03075F6T-BWQ,PC,12800,12800,1,"{""sharedFormula"":""I5""}",0.489,6259.2,JPY(¥),,1861.736448,0.3823939278937381,THB SPROCKET,0.452890625,5797,5797,5797,"{""sharedFormula"":""U5""}",0.52,1,3014.44,3014.44,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0353,,RF03075F6T-CWN,PC,16000,16000,1,"{""sharedFormula"":""I5""}",0.489,7824,JPY(¥),,2327.1705600000005,0.3806631608081925,THB SPROCKET,0.451625,7226,7226,7226,"{""sharedFormula"":""U5""}",0.52,1,3757.52,3757.52,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0409,,RF03075F6T-CWQ,PC,19300,19300,1,"{""sharedFormula"":""I5""}",0.489,9437.699999999999,JPY(¥),,2807.1494880000005,0.38191385390428206,THB SPROCKET,0.4525388601036269,8734,8734,8734,"{""sharedFormula"":""U5""}",0.52,1,4541.68,4541.68,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0242,,RF03075F8T-BWN,PC,14700,14700,1,"{""sharedFormula"":""I5""}",0.489,7188.3,JPY(¥),,2138.0879520000003,0.38355208395802093,THB SPROCKET,0.45374149659863944,6670,6670,6670,"{""sharedFormula"":""U5""}",0.52,1,3468.4,3468.4,"{""sharedFormula"":""Z5""}",Added!,TC
G31,0298,,RF03075F8T-BWQ,PC,18100,18100,1,"{""sharedFormula"":""I5""}",0.489,8850.9,JPY(¥),,2632.6116960000004,0.3810105391857194,THB SPROCKET,0.451878453038674,8179,8179,8179,"{""sharedFormula"":""U5""}",0.52,1,4253.08,4253.08,"{""sharedFormula"":""Z5""}",Added!,TC
