,,,,,,,,,,,,,PO multiplier,Exchange rate
,,,,,,,,,,,,JPY,1.1440000000000001,0.26
,,,,,,,,,,,,USD,1.16688,38
Category,Part No. ,Previous Model No. ,New Model No. ,Unit ,"Manufacturer's suggested 
retail price","(New) Manufacturer's suggested 
retail price",Conversion to FT,% dif for cost,"(TTCL Internal Use)
PO Price","PO price
JPY/USD",PO price currency,REMARK (internal),"(TTCL Internal Use)
 THB Cost","(TTCL Internal Use)
GP",Pricelist Name,Multipiler,"Make same Price as Standard Price (THB)
=JPY/USD*Mul.","(New) Make same Price as Standard Price (THB)
=JPY/USD*Mul.","Standard Price (THB)
*Copy from excel",เช็คความต่าง %,"DIST. PL
 MUL.",Dist. Ex rate,Unit price (THB),(NEW) Unit price (THB),% dif for Unit price (SP),Status,Supplier Name,"Stock Reference 
(RPP)","Cutting &
Assembly",Detail
A15,5020,AL1022-JL,AL1022-MLJL,PC,669,669,1,,0.333,222.77700000000002,JPY(¥),,66.26279088000001,0.486175629032258,THB DRIVE CHAIN,0.37070254110612855,248,248,248,,0.52,1,128.96,128.96,,,TC
A15,0020,AL1022,AL1022-RP,LINK,271,271,1,,0.333,90.24300000000001,JPY(¥),,26.841877920000005,0.48892083168316824,THB DRIVE CHAIN,0.3726937269372694,101,101,101,,0.52,1,52.52,52.52,"{""sharedFormula"":""Z5""}",,TC
A15,5021,AL1044-JL,AL1044-MLJL,PC,860,860,1,"{""sharedFormula"":""I6""}",0.333,286.38,JPY(¥),,85.18086720000002,0.4864910344827585,THB DRIVE CHAIN,0.37093023255813956,319,319,319,"{""sharedFormula"":""U5""}",0.52,1,165.88,165.88,"{""sharedFormula"":""Z5""}",,TC
A15,0021,AL1044,AL1044-RP,LINK,444,444,1,"{""sharedFormula"":""I6""}",0.333,147.852,JPY(¥),,43.97709888000001,0.4874463999999999,THB DRIVE CHAIN,0.3716216216216216,165,165,165,"{""sharedFormula"":""U5""}",0.52,1,85.8,85.8,"{""sharedFormula"":""Z5""}",,TC
A15,5022,AL1066-JL,AL1066-MLJL,PC,1070,1070,1,"{""sharedFormula"":""I6""}",0.333,356.31,JPY(¥),,105.9808464,0.48533000000000004,THB DRIVE CHAIN,0.37009345794392523,396,396,396,"{""sharedFormula"":""U5""}",0.52,1,205.92000000000002,205.92000000000002,"{""sharedFormula"":""Z5""}",,TC
A15,0022,AL1066,AL1066-RP,LINK,616,616,1,"{""sharedFormula"":""I6""}",0.333,205.12800000000001,JPY(¥),,61.01327232000001,0.4853806315789473,THB DRIVE CHAIN,0.37012987012987014,228,228,228,"{""sharedFormula"":""U5""}",0.52,1,118.56,118.56,"{""sharedFormula"":""Z5""}",,TC
A15,5023,AL1222-JL,AL1222-MLJL,PC,887,887,1,"{""sharedFormula"":""I6""}",0.333,295.37100000000004,JPY(¥),,87.85515024000001,0.4864674407294832,THB DRIVE CHAIN,0.370913190529876,329,329,329,"{""sharedFormula"":""U5""}",0.52,1,171.08,171.08,"{""sharedFormula"":""Z5""}",,TC
A15,0023,AL1222,AL1222-RP,LINK,444,444,1,"{""sharedFormula"":""I6""}",0.333,147.852,JPY(¥),,43.97709888000001,0.4874463999999999,THB DRIVE CHAIN,0.3716216216216216,165,165,165,"{""sharedFormula"":""U5""}",0.52,1,85.8,85.8,"{""sharedFormula"":""Z5""}",,TC
A15,5024,AL1244-JL,AL1244-MLJL,PC,1220,1220,1,"{""sharedFormula"":""I6""}",0.333,406.26000000000005,JPY(¥),,120.83797440000004,0.4870182781456952,THB DRIVE CHAIN,0.37131147540983606,453,453,453,"{""sharedFormula"":""U5""}",0.52,1,235.56,235.56,"{""sharedFormula"":""Z5""}",,TC
A15,0024,AL1244,AL1244-RP,LINK,802,802,1,"{""sharedFormula"":""I6""}",0.333,267.06600000000003,JPY(¥),,79.43611104000001,0.4890911304347826,THB DRIVE CHAIN,0.37281795511221943,299,299,299,"{""sharedFormula"":""U5""}",0.52,1,155.48000000000002,155.48000000000002,"{""sharedFormula"":""Z5""}",,TC
